Place_Id,Place_Name,Category,City,Tags
39,Museum Macan (Modern and Contemporary Art in Nusantara),Budaya,Jakarta,museum seni modern kontemporer nusantara museum macan museum seni kebon jeruk jakarta indonesia museum indonesia milik koleksi seni modern kontemporer indonesia internasional
40,Galeri Nasional Indonesia,Budaya,Jakarta,galeri nasional indonesia bahasa inggris national gallery of indonesia lembaga budaya negara museum seni rupa modern kontemporer gedung fungsi pamer helat seni rupa indonesia mancanegara gedung institusi milik perintah menteri didik budaya fungsi galeri nasional indonesia laksana kaji kumpul registrasi awat aman pamer mitra layan edukasi publikasi karya seni rupa fungsi utama lindung kembang manfaat asset seni seni rupa fasilitas didik budaya galeri nasional alamat jalan medan merdeka timur no 14 jakarta pusat
41,Museum Bahari Jakarta,Budaya,Jakarta,museum bahari museum simpan koleksi hubung bahari nelayan bangsa indonesia sabang merauke lokasi seberang labuh sunda kelapa museum salah delapan museum awas dinas budaya museum provinsi daerah khusus kota jakarta
42,Museum Seni Rupa dan Kramik,Budaya,Jakarta,museum seni rupa keramik indonesia museum seni rupa keramik museum jakarta indonesia museum dedikasi khusus tampil seni rupa tradisional keramik indonesia museum letak sisi timur lapang fatahillah museum sejarah jakarta museum wayang
43,The Escape Hunt,Taman Hiburan,Jakarta,escape hunt salah rekreasi lokasi letak jakarta selatan peran detektif ruang kunci 1 jam pecah khawatir takut ajak 4 teman ruang pecah tarik kali tuntun isi data formulir sedia briefing pandu game jalan cerita tentu
44,Monumen Selamat Datang,Budaya,Jakarta,monumen selamat monumen letak bundar hotel indonesia jakarta indonesia monumen patung pasang manusia genggam bunga lambai tangan patung hadap utara sambut arah monumen nasional
45,Jakarta Aquarium dan Safari,Taman Hiburan,Jakarta,unjung seaworld ancol asing seru saksi biota laut puas unjung coba unjung wisata satwa laut unik jakarta aquarium jakarta aquarium tempat areal luas m2 tawar atraksi wisata laut modern hibur edukatif luas seaworld ancol taman rekreasi tawar wahana atraksi kalah tarik
46,Pulau Semak Daun,Bahari,Jakarta,pulau semak daun salah pulau letak gugus pulau ribu administratif pulau wilayah kabupaten pulau ribu provinsi dki jakarta daerah tangkar penyu sisik pantai nyaman renang pantai bersih landai pasir putih bebas bulu babi daerah bagus selam snorkeling mula letak pulau pramuka
47,Taman Situ Lembang,Taman Hiburan,Jakarta,taman situ lembang taman kota letak pusat jakarta situ danau payau lembang nama jalan taman salah taman tua jakarta milik danau air asal sumber air alam taman letak fasilitas arena pancing trek lari arena main anak taman situ lembang keliling kawasan elite menteng
48,Taman Ismail Marzuki,Budaya,Jakarta,pusat seni jakarta taman ismail marzuki populer taman ismail marzuki tim pusat seni budaya lokasi jalan cikini raya 73 jakarta pusat letak institut seni jakarta planetarium jakarta tim milik enam teater modern balai pamer galeri gedung arsip bioskop seni budaya tunjuk rutin pusat seni mentas drama tari wayang musik baca puisi pamer lukis tunjuk film jenis seni tradisional kontemporer tradisi asli indonesia negeri temu nama pusat seni asal nama cipta lagu kenal indonesia ismail marzuki
49,Galeri Indonesia Kaya,Budaya,Jakarta,galeri indonesia kaya singkat gik ruang publik madu konsep edukasi digital tuju kenal apresiasi indonesia generasi muda tempat grand indonesia jakarta indonesia galeri indonesia kaya gagas bangun ruang edutainment budaya ba teknologi digital dekat salur kreativitas ekspres generasi muda lingkup tradisi budaya nusantara milik auditorium masyarakat butuh karya
50,Museum Joang 45,Budaya,Jakarta,gedung joang museum joang 45 salah museum jakarta kelola laksana dinas pariwisata budaya provinsi dki jakarta museum letak jalan menteng raya 31 lurah kebon sirih camat menteng jakarta pusat museum resmi 1974 presiden soeharto renovasi
51,Jakarta Planetarium,Taman Hiburan,Jakarta,planetarium observatorium jakarta wahana simulasi langit indonesia kuta kalimantan timur surabaya jawa timur planetarium tua letak taman ismail marzuki jakarta planetarium jakarta sarana wisata didik saji tunjuk aga simulasi bintang langit unjung ajak embara jagat raya paham konsepsi alam semesta acara acara planetarium jakarta diri 1964 prakarsa presiden soekarno serah perintah provinsi dki jakarta sedia ruang pamer benda angkasa suguh foto terang lengkap bentuk galaksi bentuk galaksi serta kenal muncul teori
52,Kampung Cina,Budaya,Jakarta,kampung china huni kawasan dagang cibubur jakarta timur wilayah diri berkat kerja perintah kota jakarta timur usaha asing sulap area 300 hektare kawasan wisata cibubur kota wisata mandiri town center kutip buku ensiklopedia jakarta kampung operasi tanggal 14 september bangun nuansa alam jual bau seni china produk jajah asal negeri tirai bambu wilayah tuju wisata raya raya imlek
53,Rumah Sipitung,Budaya,Jakarta,rumah si pitung marunda jakarta utara indonesia rumah panggung betawi sisa rumah panggung representasi huni panggung masyarakat betawi tinggal pesisir rumah museum masuk cagar budaya persis rumah si pitung diri bangun bangun abad rumah panggung rumah marunda rumah tradisional suku bugis rumah milik haji saipudin saudagar kaya bandar ikan makassar sumber haji saipudin juragan sero konglomerat kapal haji saipuddin yakin sahabat erat si pitung pitung tengara kali singgah rumah dasawarsa singgah si pitung kali rangka sembunyi kejar tentara belanda tuduh rampok perintah dki jakarta kali pugar rumah panggung topang 40 buah tiang bangun beli pemprov dki jakarta turun ahli waris saipudin bangun museum masuk cagar budaya dasar sk gubernur 1993 sk menteri lembaga nama rumah asli betawi pesisir rumah si pitung museum nasional
54,Taman Agrowisata Cilangkap,Taman Hiburan,Jakarta,taman luas 19 hektar milik perintah provinsi pemprov dki jakarta kelola dinas tani hutan dki taman wisata agro cilangkap letak jalan raya cilangkap jakarta timur taman permai tumbuh aneka jenis pohon rindang sejuk udara polusi asap kendara motor nikmat taman jadi alternatif destinasi wisata warga domisili kawasan taman wisata agro cilangkap lengkap fasilitas arena olahraga jogging track arena main anak sobat ayojakarta milik hobi pancing area taman milik danau jadi area pancing
55,Klenteng Jin De Yuan,Tempat Ibadah,Jakarta,kelenteng kim tek le kenal kelenteng jin de yuan bangun kelenteng tua jakarta diri letnan tionghoa kwee hoen nama koan im teng jin de yuan kenal salah kelenteng kelola kong koan dewan tionghoa kelenteng goenoeng sari kelenteng toa peh kong kelenteng jin de yuan kelenteng hian thian shang tanah tandjoeng musnah
56,Pantai Ancol,Bahari,Jakarta,pantai ancol kawasan wisata destinasi wisata pantai kota jakarta wisatawan nikmat suasana segar pantai lagoon festival indah beach pool carnaval danau impi libur alam buka percaya milik efek tenang senang gari pantai km aktivitas wisata wisata pantai bumd hasil dapat asli daerah besar provinsi dki jakarta
57,Taman Lapangan Banteng,Taman Hiburan,Jakarta,lapang banteng nama waterlooplein bahasa belanda plein lapang lapang letak weltevreden batavia gereja katedral jakarta lapang banteng kenal sebut lapang singa 1 tengah pancang tugu ingat menang tempur waterloo patung singa atas tempur waterloo tanggal 18 juni 1815 kota waterloo 15 km arah selatan kota belgia brussels tempur tempur napoleon lawan pasu gabung tempur catat sejarah tutup ratus lari napoleon asing pulau elba tugu singa diri zaman perintah duduk tentara jepang indonesia merdeka nama ganti lapang banteng zaman lapang huni satwa liar macan kijang banteng coen bangun kota batavia muara ciliwung lapang keliling hutan belantara belah timur jalan lapang banteng timur tedapat kantor satlantas polres jakarta pusat
58,Taman Ayodya,Taman Hiburan,Jakarta,taman ayodya nama taman barito taman kota jakarta selatan taman lokasi lahan luas m2 lengkap kolam buat luas m2 ayodya lengkap jalur pijak kursi gazebo pendopo kamar mandi trek jogging taman hotel pasar hotel gran mahakam plaza blok m pasar burung barito mal kebayoran pasar taman bahan taman langsat menyebrang jalan raya
59,Museum Sumpah Pemuda,Budaya,Jakarta,museum sumpah pemuda museum sejarah juang merdeka republik indonesia jalan kramat raya no 106 jakarta pusat kelola menteri didik budaya republik indonesia museum buka selasa jumat sabtu minggu wib senin nasional museum tutup milik koleksi foto hubung sejarah sumpah pemuda 1928 gera nasional pemuda indonesia museum sumpah pemuda diri dasar sk gubernur dki jakarta 1972 benda cagar budaya nasional
60,Museum Tekstil,Budaya,Jakarta,museum cinta tekstil tempat gedung tua jalan tubun kota bambu selatan no 4 camat palmerah jakarta rumah pribadi warga negara prancis bangun abad beli konsul turki nama abdul azis almussawi al kazimi tetap indonesia 1942 jual karel christian juang merdeka indonesia gedung markas bari aman rakyat bkr 1947 ami lie sion pin 1952 beli departemen sosial tanggal 25 oktober 1975 serah pemda dki jakarta tanggal 28 juni 1976 resmi guna tien soeharto museum tekstil
61,Tugu Proklamasi,Budaya,Jakarta,tugu proklamasi tugu ingat proklamasi merdeka republik indonesia diri kompleks taman proklamasi jalan proklamasi jakarta pusat taman lokasi bekas diam sukarno jalan gangsa timur rumah hancur lokasi baca proklamasi kompleks monumen patung ukur diri damping dokumentasi foto naskah proklamasi kali baca patung proklamator patung naskah proklamasi buat lempeng batu marmer hitam susun bentuk tulis naskah keti asli
62,Taman Legenda Keong Emas,Taman Hiburan,Jakarta,taman legenda keong emas salah rekreasi favorit kawasan jakarta timur lokasi taman mini indonesia indah tmii taman legenda keong emas tmii ikon pusat sarana wisata besar indonesia sarana rekreasi keluarga taman legenda keong emas tmii visi misi edukasi masyarakat lestari waris budaya indonesia salah satu legenda cerita rakyat
63,Museum Kebangkitan Nasional,Budaya,Jakarta,museum bangkit nasional bahasa inggris museum of national awakening gedung bangun monumen lahir kembang sadar nasional temu organisasi gera modern kali nama boedi oetomo museum bangun dahulu sekolah dokter diri belanda nama school tot opleiding van inlandsche artsen singkat stovia sekolah dokter bumiputra jalan gedung alih fungsi lokasi museum pasar senen tepat jalan abdurrahman saleh rspad gatot subroto jakarta pusat
64,Museum Sasmita Loka Ahmad Yani,Budaya,Jakarta,museum sasmita loka ahmad yani salah museum pahlawan nasional letak jalan lembang no 58 jalan laruharhari no 65 jakarta pusat dki jakarta indonesia museum buka selasa minggu wib senin museum tutup
65,Museum Basoeki Abdullah,Budaya,Jakarta,museum basoeki abdullah isi lukis koleksi pribadi basoeki abdullah patung topeng wayang senjata museum letak jakarta selatan kelola menteri didik budaya pamer museum gelar seminar teliti lokakarya terbit bentuk publikasi katalog biografi kumpul artikel hasil teliti
66,Museum Layang-layang,Budaya,Jakarta,museum museum letak jl kamang no 38 pondok labu jakarta selatan museum museum indonesia koleksi museum 600 tambah iring datang layang daerah negeri karyawan museum museum buka wib libur nasional museum tutup
67,Margasatwa Muara Angke,Cagar Alam,Jakarta,suaka margasatwa muara angke kawasan konservasi dasar sk menteri hutan ri nomor 29 februari 1998 wilayah hutan bakau pesisir utara jakarta administratif kawasan wilayah lurah kapuk muara camat jaring kotamadya jakarta utara
68,Pasar Petak Sembilan,Pusat Perbelanjaan,Jakarta,pecinan glodok tepat pasar petak sembilan jakarta barat salah jual kuliner khas china kawasan bagai huni orang tionghoa kenal kuliner khas china jaja warga kue keranjang kue dodol kue lapis jaja harga rp 30 ribu rp 100 ribu tiga jenis kue kue beli lengkap raya imlek sumber jual aku kue jaja langsung daerah asal wilayah beda memilliki ciri khas sendiri
69,Freedom Library,Budaya,Jakarta,freedom library pustaka buku buka milik puluh ribu koleksi buku susun rak sesuai tema mudah cari buku desain ruang modern suasana tenang baca betah daftar member kena biaya gratis baca buku pustaka
70,Perpustakaan Nasional,Budaya,Jakarta,pustaka nasional pustaka khusus diri perintah negara simpan informasi negara beda pustaka jarang khalayak ramai boleh pinjam buku seringkali pustaka nasional simpan koleksi langka pustaka pustaka nasional pustaka alexandria pustaka mesir kuno pustaka nasional kali ukur luas banding pustaka negara negara independen lestari budaya khusus diri pustaka nasional atribut lembaga deposito pustaka nasional federasi internasional asosiasi institusi pustaka bahasa inggris international federation of library association and institution ifla bagas tugas tetap promosi standar laksana proyek bantu penuh tugas pustaka nasional eropa partisipasi pustaka eropa layan konferensi pustakawan nasional eropa bahasa inggris conference of european national librarian cenl rencana pustaka nasional rancang matematikawan john dee 1556 mary i inggris rencana visioner lestari manuskrip catat diri pustaka nasional proposal tuju
71,Cibubur Garden Diary (Cibugary),Cagar Alam,Jakarta,cibubur garden dairy kenal degan sebut cibugary terna sapi perah terna kambing milik nuansa kebun kawasan cibubur sang empunya rachmat baghory inisiatif jadi wisata agro edukatif
72,Waterboom PIK (Pantai Indah Kapuk),Taman Hiburan,Jakarta,waterbom jakarta wahana main air populer kawasan pantai indah kapuk pik jakarta utara harga tiket masuk waterboom pik uras kantong rp 100 ribu orang weekday rp 200 ribu weekend waterboom pik objek wisata favorit libur tawar fasilitas pada milik wahana main air bilang lengkap
73,Museum Perangko,Budaya,Jakarta,museum perangko bangun bentuk bangun gaya jawa bal lahan luas m2 resmi presiden soeharto tanggal 29 september museum pamer koleksi perangko indonesia negeri adapula sepeda po antik merk falter buat jerman barat 1950 letak serambi museum halaman bola dunia merpati bawa surat melambang tugas perum po giro jangkau dunia
74,Museum Tengah Kebun,Budaya,Jakarta,museum kebun museum simpan koleksi seni sejarah indonesia negeri lokasi daerah kemang jakarta selatan museum bangun kebun luas m2 museum milik pribadi sjahrial djalil salah tokoh iklan modern indonesia diri biro iklan ad force 2013 museum pilih museum swasta baik museum award koleksi 63 negara 26 provinsi indonesia 2 museum beda museum tata koleksi pamer unjung letak atur sudut ruang lantai tangah taman toilet dinding rumah
